Fracture Date,Year,UWI,Well Area Name,Latitude_dd,Longitude_dd,Total Water Volume (m^3)
2025-04-26,2025,100162208019W600,GROUNDBIRCH,55.943261111111106,-120.846475,13756.0
2025-04-24,2025,100142208019W600,GROUNDBIRCH,55.9432,-120.84651944444444,15131.0
2025-04-23,2025,200D025C094G0100,TOWN,57.00449444444445,-122.29198888888888,11367.9
2025-04-23,2025,202B025C094G0100,TOWN,57.004475,-122.29206388888889,13381.1
2025-04-23,2025,202D025C094G0100,TOWN,57.004511111111114,-122.29191388888889,15560.5
2025-04-23,2025,200B025C094G0100,TOWN,57.00445833333333,-122.29213888888889,10301.6
2025-04-23,2025,202C015C094G0100,TOWN,57.004422222222225,-122.29229166666667,11496.5
2025-04-23,2025,200C015C094G0100,TOWN,57.00440277777778,-122.29236666666667,9558.9
2025-04-23,2025,100152008824W600,BLUEBERRY,56.685855555555555,-121.81030555555556,42442.61
2025-04-22,2025,100012908824W600,BLUEBERRY,56.685852777777775,-121.81009444444445,57316.1
2025-04-21,2025,100082908824W600,BLUEBERRY,56.685849999999995,-121.80976666666666,60007.87
2025-04-19,2025,100123207818W600,SUNRISE,55.800266666666666,-120.71824444444445,26358.6
2025-04-19,2025,105053207818W600,SUNRISE,55.800266666666666,-120.71808333333334,13315.5
2025-04-19,2025,104053207818W600,SUNRISE,55.800266666666666,-120.71792500000001,25817.5
2025-04-19,2025,103053207818W600,SUNRISE,55.800266666666666,-120.7177638888889,13963.2
2025-04-19,2025,102012908824W600,BLUEBERRY,56.685849999999995,-121.80993055555555,55626.79
2025-04-19,2025,100053207818W600,SUNRISE,55.800266666666666,-120.71744722222222,21539.3
2025-04-18,2025,100042808824W600,BLUEBERRY,56.68584444444444,-121.80927777777778,60218.42
2025-04-18,2025,102053207818W600,SUNRISE,55.800266666666666,-120.71760555555555,21073.1
2025-04-18,2025,102152008824W600,BLUEBERRY,56.685852777777775,-121.81025555555556,58254.87
2025-04-18,2025,102142008824W600,BLUEBERRY,56.68585833333333,-121.81058333333333,53151.06
